34083337,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}",]cj]
34088457,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}","?L5J\w""3d>trd#%hkT*`VJ]65"
34093577,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,16402933:1483619454957,21041496:1487945242143,22112515:1491317201960,22747759:1491317197877,22749319:1491317193970,23055683:1489749163317,25001458:1491320925690,28633763:1494411385423,28635654:1494412448033,28635950:1494412851073,28636062:1494413039507,28636577:1494413651523,28657747:1496143031727,29082640:1496143124137,29083134:1496143031723,29090975:1496143124133,29147004:1496143031717,29269521:1496143031730,29340676:1495100952933,29399085:1495142766077,32784442:1497952470857,32788335:1497954051080,34576036:1499342454320,37629333:1502372172287,38600591:1503301779210,42287703:1506605304267,43192115:1507287148387,43550485:1507549668973,43665319:1507627691287,54813535:1511281554180,55009042:1511369784250,55028382:1511388389403,55158331:1518692569433,55162431:1518692566223,55163159:1518692562720,55163991:1518692558820,55165871:1518692551413,55166076:1518692545803,55166434:1518692540840,55167115:1518692537253,55167129:1511441168887,55168399:1518692531697,55170253:1518692525170,55170896:1518692519660,55172520:1511442878070,55354508:1511518837903,61673637:1518692512877,61676996:1518692502507,61677096:1518692497380,61679909:1518692487303,62539821:1518692476413,63143493:1518692463760,65527506:1518692451500,65532487:1518530707287,65705041:1518692445707,65725501:1518530700750,65870686:1518692434557,65887398:1518530690400,66003082:1518692425533,66003316:1518530680307,66337183:1518692413980,66337413:1518530670480,66369103:1518692403233,66481428:1518692394993,66495982:1518530661967,66582782:1518692384073,66645471:1518692358453,66724943:1518692340107,67034858:1516623116437,67037348:1516625361127,67095217:1524136324277,67219168:1516806117167,67352541:1518692324583,67900979:1518692023773,68120490:1517329058870,69322635:1518435394710,69390342:1518519731857,69487304:1518618526780,69490735:1518621347897,69491206:1518621641707,69491578:1518621932470,69491690:1518621977513,69493189:1518623357173,69498245:1518629298400,69574718:1522239904507,69577594:1518692111307,70565628:1519652530733,70565923:1519652716510,71047424:1519922710280,71047668:1524133043810,71048186:1519923718007,72590042:1521110741023,75599460:1524752896690,76474824:1524211471323,76727736:1524476297630,77145953:1524839305790,77970853:1525684669780,77972464:1525686445727,78833350:1526385581033,78986231:1526477083273,79742976:1527240664833,79745583:1527243103400,80138619:1527757405227,80203784:1527843595353,80218771:1527860153243,80491502:1528189124800,80661594:1528369292000,81040721:1528837844000,81419295:1529327128000,82163662:1530104933000,82914837:1531309494000,83218275:1531924230000,83301228:1532082875000,83590532:1532524728000,83590533:1532524740000,83590644:1532524747000,83771891:1532709695000,85426793:1534516266000,85908353:1535043194000,86183490:1535359944000,88460932:1537196029000,88460948:1537196034000}","4Y8fMe0rO"".5-yz^JYZ?V>8S91sJ58/["
34098697,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,46791176:1508321987273,46795110:1508323975213,54920960:1511339008970,54943490:1511346355197,55165871:1518692551413,61679909:1518692487303,69498245:1518629298400,69574718:1522239904507,69577594:1518692111307,75599460:1524752896690,78844374:1526391252900,82163194:1530103373000,83184526:1531865505000,83301228:1532082875000,83978674:1532940307000}",\UvDLqm`7{bq:KpT
34103817,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}",S2%3$mcVu7\{*oAG$@`e%tE+_!ByvF
34108937,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,28635654:1494412448033,28636062:1494413039507,28636577:1494413651523,29340676:1495100952933,29399085:1495142766077,32784442:1497952470857,55028382:1511388389403,55162431:1518692566223,55163159:1518692562720,55163991:1518692558820,55165871:1518692551413,55166076:1518692545803,55167115:1518692537253,55167129:1511441168887,55168399:1518692531697,55170896:1518692519660,59632237:1513183811607,61679909:1518692487303,66369103:1518692403233,67219168:1516806117167,68304532:1517498548710,69322635:1518435394710,69487304:1518618526780,69491206:1518621641707,69491578:1518621932470,69574718:1522239904507,70279575:1519382067410,72414822:1520959885593,75599460:1524752896690,76727736:1524476297630,77141437:1524834329560,77313293:1525001084493,77313311:1525001127070,78833350:1526385581033,80138619:1527757405227,82163375:1530104407000,82523422:1530656317000,83978673:1532940306000}",v:XEeP4<~d
34114057,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,11231357:1473867428333,11256228:1473922831790,13892697:1479831322400,20308332:1487265142830,21041496:1487945242143,31648385:1497002292237,38336315:1502962106247,55009042:1511369784250,55162431:1518692566223,55165871:1518692551413,55166076:1518692545803,61679909:1518692487303,69322635:1518435394710,69487304:1518618526780,69498245:1518629298400,71047424:1519922710280,75599460:1524752896690,76513821:1524250267180,76727736:1524476297630,77142523:1524835562290,77313293:1525001084493,78833350:1526385581033,80138466:1527756717017,80661594:1528369292000,82162745:1530100815000,82466117:1530570157000,83978673:1532940306000}",5.&/JFf3}4HUo
34119177,"{541562:1429082053337,835139:1436955705830,835185:1436955881210,1147459:1439897563620,1147460:1439897563640,12803070:1477575743660,13892697:1479831322400,16402933:1483619454957,28636577:1494413651523,38600591:1503301779210,46791176:1508321987273,46795110:1508323975213,53466085:1510593109167,54920960:1511339008970,54943490:1511346355197,55009042:1511369784250,55165871:1518692551413,55167129:1511441168887,55172520:1511442878070,61679909:1518692487303,66601759:1516212719623,67034261:1516622399790,67277839:1516873134193,68595590:1517838969220,69490735:1518621347897,69491206:1518621641707,69491578:1518621932470,69493189:1518623357173,69574718:1522239904507,71047668:1524133043810,75599460:1524752896690,76513821:1524250267180,77141437:1524834329560,77313311:1525001127070,78844374:1526391252900,78986231:1526477083273,79825011:1527343359747,82163107:1530102962000,83218275:1531924230000,83548564:1532471413000,83590526:1532524723000,83590533:1532524740000,83590644:1532524747000,83772124:1532712473000,85908718:1535043645000,86183657:1535360348000}","U,PAk{P*dMm fPX,U"
186805027,"{13892697:1479831322400,18377415:1485349209440,20308332:1487265142830,21041496:1487945242143,22960487:1489652441673}",%}Ps8+it &ECAy5y'Af1~zELAR&|78Gis-(M[s
186810147,"{13892697:1479831322400,20308332:1487265142830}",
186815267,"{13892697:1479831322400,20308332:1487265142830,22960487:1489652441673}","!3EiKP3Aw""@d1^yC>;-zF)+S{G*)E9E&OI ?',[N(c#"
186820387,{13892697:1479831322400},"rdi=&ri:+q.""7;N_CMpv*5"
186825507,"{13892697:1479831322400,20308332:1487265142830,22960487:1489652441673}","_""]5)XA\\[%;F4]9%V8g0zVIh"
186830627,{13892697:1479831322400},6@toX4\n[g%$D|W`(X&#N9bC~
198706137,"{16402933:1483619454957,22112515:1491317201960,22747759:1491317197877,22749319:1491317193970,23055683:1489749163317,25000863:1491320123643,28633763:1494411385423,28657747:1496143031727,29082640:1496143124137,29083134:1496143031723,29090975:1496143124133,29147363:1495526040970,29269521:1496143031730,29340676:1495100952933,29399085:1495142766077,29874496:1495541080103,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,39964668:1504608717907,40124938:1504776749350,48148592:1509012208737,55028382:1511388389403,55166434:1518692540840,55167115:1518692537253,55168399:1518692531697,61679764:1518692491807,72414822:1520959885593,76474824:1524211471323,76727736:1524476297630,83590527:1532524734000,83590532:1532524728000,83590669:1532524753000,83772061:1532711344000,85743345:1534889075000,85908353:1535043197000,86183490:1535359950000}",`6B2#9fQ\;;peb=b/+-'d%=Ws3_JYQ~IAT`UOG[Q=*TTJHJ
198711257,"{16402933:1483619454957,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}", m U(z@Pg$R.|k)kA|fZ
198716377,"{16402933:1483619454957,28633763:1494411385423,29269521:1496143031730,29340676:1495100952933,29399085:1495142766077,34399352:1499241881757,55028382:1511388389403,55162431:1518692566223,55163991:1518692558820,55165871:1518692551413,55166076:1518692545803,55166434:1518692540840,55167115:1518692537253,55168399:1518692531697,59632237:1513183811607,61679909:1518692487303,67219168:1516806117167,69322635:1518435394710,69487304:1518618526780,72414822:1520959885593,75599460:1524752896690,76727736:1524476297630,78833350:1526385581033,80138466:1527756717017,82163375:1530104407000,83978673:1532940306000,84368904:1533334793000}","Qx[d_*-*h@cuf"";1,9/TlAW}J4RPQlx>$Tr'RG5pkskk!t"
198721497,"{16402933:1483619454957,29139440:1494917104980,29139441:1494916137560,31648391:1497002302097,83533013:1532443163000}",
198726617,"{16402933:1483619454957,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}","u2k;RQn,v,((V`gb8#yOXr}]Z-"
198731737,"{16402933:1483619454957,22112515:1491317201960,22747759:1491317197877,22749319:1491317193970,23055683:1489749163317,25001458:1491320925690,28633763:1494411385423,28635654:1494412448033,28635950:1494412851073,28657747:1496143031727,29082640:1496143124137,29083134:1496143031723,29090975:1496143124133,29147004:1496143031717,29269521:1496143031730,29340676:1495100952933,29399085:1495142766077,29984013:1495635267993,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,41908686:1506331746117,42287703:1506605304267,43834345:1507734732097,47124495:1508515285050,49593725:1509445004617,53978041:1510854244023,54581060:1511189731783,55028382:1511388389403,55158331:1518692569433,55163991:1518692558820,55165871:1518692551413,55166076:1518692545803,55166434:1518692540840,55167115:1518692537253,55167129:1511441168887,55168399:1518692531697,55170253:1518692525170,55170896:1518692519660,55354508:1511518837903,61673637:1518692512877,61676996:1518692502507,61677096:1518692497380,61679909:1518692487303,62539821:1518692476413,63143493:1518692463760,65527506:1518692451500,65532487:1518530707287,65705041:1518692445707,65725501:1518530700750,65870686:1518692434557,65887398:1518530690400,66003082:1518692425533,66003316:1518530680307,66337183:1518692413980,66337413:1518530670480,66369103:1518692403233,66480308:1516095510313,66495982:1518530661967,66582782:1518692384073,66645471:1518692358453,66724943:1518692340107,67035588:1516623700907,67037690:1516625728090,67037981:1516626056540,67095217:1524136324277,67352541:1518692324583,67900979:1518692023773,68574435:1517823311500,69487304:1518618526780,69491206:1518621641707,69491578:1518621932470,69493189:1518623357173,69498245:1518629298400,69574718:1522239904507,69577594:1518692111307,70279575:1519382067410,71047424:1519922710280,71047668:1524133043810,71048186:1519923718007,75388700:1523612645243,75392737:1523372696087,76474824:1524211471323,76513821:1524250267180,76727736:1524476297630,77145953:1524839305790,77306381:1524998548030,77313054:1525001038137,77970853:1525684669780,77972464:1525686445727,77982701:1525696946583,78716693:1526297313617,78833425:1526385625310,78835623:1526385670013,79217442:1526642178747,79825358:1527343751223,80029671:1527607778107,80076766:1527680510263,80218771:1527860153243,80491388:1528189059313,80491397:1528189059303,80491502:1528189124800,80504138:1528201195763,80588321:1528294680000,80748034:1528471322000,80748414:1528471447000,80835426:1528570948000,80836463:1528572746000,81024486:1528811702000,81087140:1528888989000,81125322:1528956508000,81145193:1528969060000,81174079:1529010710000,81419295:1529327129000,81671324:1529585526000,81676589:1529590111000,81676964:1529590716000,81695286:1529612845000,81696526:1529615387000,81738062:1529662656000,81742154:1529668144000,81834908:1529742428000,81975478:1529915955000,82162693:1530100280000,82164943:1530102605000,82176720:1530116782000,82263993:1530254908000,82376112:1530435267000,82391915:1530461585000,82512644:1530639956000,82533415:1530681474000,82534271:1530683399000,82539810:1530685506000,82600200:1530771728000,82630957:1530809552000,82636871:1530819895000,82638534:1530822741000,82709670:1530942278000,82777591:1531077309000,82804144:1531132060000,82868249:1531231278000,82895971:1531283948000,82898328:1531288551000,82903956:1531293862000,82906106:1531296928000,82907938:1531299424000,82909049:1531300938000,82911239:1531304188000,82915672:1531310714000,82920312:1531316731000,82922440:1531319730000,82924916:1531323129000,82952669:1531374908000,82960089:1531383038000,82960230:1531383280000,82961862:1531385237000,82964977:1531389394000,82971047:1531398803000,82980569:1531412972000,82988721:1531429945000,83001544:1531461758000,83020847:1531483934000,83114015:1531719483000,83124857:1531740156000,83130560:1531750762000,83150088:1531806183000,83164790:1531824923000,83197177:1531894215000,83209733:1531909601000,83239000:1531978998000,83262507:1532005078000,83294600:1532073445000,83298044:1532076941000,83299610:1532079068000,83301228:1532082875000,83310872:1532096713000,83348995:1532160157000,83354653:1532168056000,83389748:1532238965000,83425462:1532276915000,83450090:1532329113000,83456736:1532332804000,83476720:1532357766000,83476919:1532357983000,83489431:1532380267000,83514529:1532417666000,83525253:1532432252000,83536792:1532448968000,83580509:1532511068000,83590526:1532524723000,83590533:1532524740000,83590644:1532524747000,83592839:1532527209000,83604918:1532546900000,83605728:1532548310000,83707176:1532670962000,83742022:1532686426000,83772029:1532710510000,83781257:1532719015000,83828510:1532766914000,83866539:1532803822000,83866658:1532804002000,83895485:1532845476000,83941587:1532895228000,83958205:1532925867000,83964921:1532931306000,83982792:1532943187000,83983357:1532943807000,83984060:1532944383000,83984822:1532945009000,83986419:1532946327000,83986538:1532946449000,83992916:1532951986000,84004120:1532959092000,84028611:1532981678000,84049495:1533016133000,84066873:1533023412000,84082184:1533036309000,84112722:1533062946000,84120716:1533071379000,84136714:1533100404000,84137036:1533100892000,84140704:1533103900000,84141008:1533104353000,84163485:1533121047000,84207307:1533157792000,84240876:1533200679000,84324256:1533283202000,84350871:1533308420000,84391803:1533369090000,84406395:1533387928000,84423315:1533399520000,84446705:1533447904000,84519314:1533539354000,84540976:1533559759000,84562890:1533580530000,84600688:1533636607000,84626840:1533658615000,84627997:1533659994000,84672346:1533713263000,84676131:1533716900000,84678528:1533719088000,84701798:1533738711000,84722422:1533762566000,85165923:1534236072000,85166439:1534236535000,85181796:1534251302000,85220937:1534311938000,85245069:1534326328000,85296783:1534399605000,85310695:1534401582000,85352098:1534438869000,85356624:1534444986000,85361554:1534453755000,85375888:1534484644000,85375964:1534484724000,85385883:1534486522000,85386694:1534487255000,85426793:1534516266000,85430549:1534520044000,85442906:1534540189000,85483632:1534587263000,85574184:1534708244000,85574204:1534708297000,85595833:1534747328000,85602641:1534752468000,85624166:1534772486000,85628195:1534776118000,85643736:1534792324000,85649242:1534799472000,85689989:1534837282000,85738321:1534880430000,85843736:1535003862000,85899653:1535033163000,85908718:1535043833000,85950107:1535092591000,86007833:1535170687000,86069405:1535224808000,86106934:1535266097000,86183657:1535360634000,86358463:1535537349000,86443214:1535617942000,86731327:1535914176000,86750035:1535953912000,86974269:1536135132000,87005771:1536156973000,87025998:1536174205000,87053759:1536212305000,87097276:1536226718000,87174043:1536299930000,88083878:1536993952000,88244525:1537078293000,88398332:1537166797000,88460921:1537196027000,88460948:1537196034000,88527703:1537251133000}","D=nvm6X!*|HD;^R""n;qhR8HeJ9z N""VMO42"
198736857,"{16402933:1483619454957,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}",H0I1zS6<!YTR'pP(R
198741977,"{16402933:1483619454957,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}",n}\4Cq3N%_wy4hgjK#\&mQ7n]x+KWjEC_MR7V!o-GW
198747097,"{16402933:1483619454957,33903731:1498808384787,34544657:1499326171063,34545077:1499329301337,34566678:1499339172590}","C)x|&F,7t~(8#&o6PW<\#q}q/<}]*Y?Gsm{~TvN6gwVOz."
